observation_date;TEDRATE;Ted_lag;Ted_diff;R_BAB;BAB_lagged;R_BAB_SD;BAB_SD_lagged;MarketReturn;BS;BS_SD
05.06.2007;66;68;-2;-0.00424771961355322;-0.00258236235843164;-0.000899744904307987;-0.00525233985893136;0.148;0.450735608280856;0.750134692546679
06.06.2007;69;66;3;0.00341978657268069;-0.00424771961355322;0.000747290811973307;-0.000899744904307987;0.459;0.449487139747121;0.750714335994215
07.06.2007;69;69;0;-2.61721502463931E-05;0.00341978657268069;-0.00232025805803164;0.000747290811973307;0.199;0.448062187109204;0.749076429595906
08.06.2007;72;69;3;-0.00174670183334232;-2.61721502463931E-05;0.00135062734229872;-0.00232025805803164;-0.531;0.447662023725013;0.749530094191021
11.06.2007;76;72;4;0.000413898985016798;-0.00174670183334232;-0.00113373443890374;0.00135062734229872;-0.901;0.447507317628943;0.744200157065602
12.06.2007;77;76;1;-0.00374512253231933;0.000413898985016798;0.000574963403805668;-0.00113373443890374;-1.731;0.444180533598632;0.745026416673744
13.06.2007;83;77;6;-0.00218111258165959;-0.00374512253231933;0.000434575230700181;0.000574963403805668;1.089;0.442535861723086;0.742633787932065
14.06.2007;84;83;1;-0.00487827060694255;-0.00218111258165959;-0.00263267447890492;0.000434575230700181;0.099;0.44374539247115;0.714672420953961
15.06.2007;93;84;9;0.00216404281880845;-0.00487827060694255;-0.00664114270453158;-0.00263267447890492;-1.041;0.439215190395034;0.704777571732779
18.06.2007;85;93;-8;-0.00178876728235598;0.00216404281880845;0.000702837012297973;-0.00664114270453158;1.389;0.438105929642361;0.703173885353979
19.06.2007;84;85;-1;0.0012894623161996;-0.00178876728235598;-0.00545799442265796;0.000702837012297973;0.519;0.436242873059697;0.702306895103722
20.06.2007;75;84;-9;-0.00301834637847864;0.0012894623161996;0.001053499795937;-0.00545799442265796;0.709;0.435405385810985;0.704438987470527
21.06.2007;79;75;4;-0.00228010926491294;-0.00301834637847864;0.000607805249993217;0.001053499795937;-0.111;0.43242143007707;0.704352823110145
22.06.2007;77;79;-2;-0.00619479977181537;-0.00228010926491294;-0.00708144605858704;0.000607805249993217;0.159;0.43218481193036;0.696343604083423
25.06.2007;67;77;-10;0.00569940642869519;-0.00619479977181537;0.00192672294412647;-0.00708144605858704;-1.271;0.42958534910383;0.694817866825466
26.06.2007;67;67;0;0.00806741142756401;0.00569940642869519;-0.00392003250481989;0.00192672294412647;0.579;0.431056852843808;0.698953016655179
27.06.2007;72;67;5;-0.000990944705401939;0.00806741142756401;0.00320899329323156;-0.00392003250481989;-1.231;0.431273223558179;0.687882039529865
28.06.2007;72;72;0;-0.00220360558986953;-0.000990944705401939;-0.00414498481618821;0.00320899329323156;-0.371;0.431269769534535;0.685642652033937
29.06.2007;68;72;-4;0.0005774820758082;-0.00220360558986953;0.00238409951387427;-0.00414498481618821;-0.331;0.429281862958379;0.681393764139491
02.07.2007;55;68;-13;-4.13157806182455E-05;0.0005774820758082;-0.00722022908888925;0.00238409951387427;0.939;0.430438065448259;0.679790534004358
03.07.2007;55;55;0;0.000385928181274475;-4.13157806182455E-05;-0.00107396917938392;-0.00722022908888925;0.049;0.42660413249886;0.676152892275045
